,date,geartype,hours,vesselIDs,iso3,label
260,2023-03,tuna_purse_seines,23.33388889,2,FJI,Fiji
261,2023-04,drifting_longlines,5107.354444,60,FJI,Fiji
262,2023-04,tuna_purse_seines,3.636111111,1,FJI,Fiji
263,2023-05,drifting_longlines,7929.310833,69,FJI,Fiji
264,2023-05,fishing,124.5397222,3,FJI,Fiji
265,2023-05,set_longlines,1.613888889,1,FJI,Fiji
266,2023-05,trawlers,30.20888889,1,FJI,Fiji
267,2023-06,drifting_longlines,6352.323333,51,FJI,Fiji
268,2023-06,fishing,119.2013889,7,FJI,Fiji
269,2023-06,trawlers,12.50472222,1,FJI,Fiji
270,2023-06,tuna_purse_seines,31.12694444,2,FJI,Fiji
271,2023-07,drifting_longlines,8617.671389,59,FJI,Fiji
272,2023-07,fishing,48.20416667,3,FJI,Fiji
273,2023-07,pots_and_traps,41.02722222,1,FJI,Fiji
274,2023-07,set_longlines,27.39694444,1,FJI,Fiji
275,2023-07,trawlers,345.8991667,2,FJI,Fiji
276,2023-07,trollers,79.16333333,1,FJI,Fiji
277,2023-07,tuna_purse_seines,15.71361111,1,FJI,Fiji
278,2023-08,drifting_longlines,6910.120556,59,FJI,Fiji
279,2023-08,fishing,163.1177778,7,FJI,Fiji
280,2023-08,pole_and_line,30.2325,1,FJI,Fiji
281,2023-08,pots_and_traps,27.48277778,1,FJI,Fiji
282,2023-08,set_longlines,63.44,1,FJI,Fiji
283,2023-08,trawlers,8.349166667,1,FJI,Fiji
284,2023-08,trollers,5.2225,1,FJI,Fiji
285,2023-08,tuna_purse_seines,50.76694444,1,FJI,Fiji
286,2023-09,drifting_longlines,6349.392778,73,FJI,Fiji
287,2023-09,fishing,182.5661111,5,FJI,Fiji
288,2023-09,pole_and_line,2.330277778,1,FJI,Fiji
289,2023-09,set_longlines,12.63361111,1,FJI,Fiji
290,2023-09,trawlers,8.413055556,2,FJI,Fiji
291,2023-09,trollers,26.30583333,2,FJI,Fiji
292,2023-09,tuna_purse_seines,6.348888889,1,FJI,Fiji
293,2023-10,drifting_longlines,4141.352222,43,FJI,Fiji
294,2023-10,fishing,52.48305556,2,FJI,Fiji
295,2023-10,pole_and_line,0.608611111,1,FJI,Fiji
296,2023-10,set_gillnets,4.405,1,FJI,Fiji
297,2023-10,set_longlines,42.25277778,1,FJI,Fiji
298,2023-10,trawlers,83.29694444,2,FJI,Fiji
299,2015-01,drifting_longlines,5503.613333,16,FSM,Micronesia
300,2015-01,pole_and_line,1342.6475,9,FSM,Micronesia
301,2015-01,tuna_purse_seines,1268.013889,38,FSM,Micronesia
302,2015-02,drifting_longlines,5129.236111,13,FSM,Micronesia
303,2015-02,pole_and_line,817.9691667,12,FSM,Micronesia
304,2015-02,tuna_purse_seines,1594.753056,38,FSM,Micronesia
305,2015-03,drifting_longlines,5537.026389,19,FSM,Micronesia
306,2015-03,pole_and_line,476.8780556,8,FSM,Micronesia
307,2015-03,tuna_purse_seines,2062.193889,43,FSM,Micronesia
308,2015-04,drifting_longlines,4029.439444,16,FSM,Micronesia
309,2015-04,tuna_purse_seines,2876.084444,54,FSM,Micronesia
310,2015-05,drifting_longlines,3077.265278,10,FSM,Micronesia
311,2015-05,tuna_purse_seines,936.0427778,31,FSM,Micronesia
312,2015-06,drifting_longlines,4624.869722,15,FSM,Micronesia
313,2015-06,tuna_purse_seines,4087.746944,65,FSM,Micronesia
314,2015-07,drifting_longlines,3480.279167,15,FSM,Micronesia
315,2015-07,tuna_purse_seines,8244.138889,103,FSM,Micronesia
316,2015-08,drifting_longlines,6061.175278,23,FSM,Micronesia
317,2015-08,tuna_purse_seines,1276.105278,33,FSM,Micronesia
318,2015-09,drifting_longlines,6798.378333,27,FSM,Micronesia
319,2015-09,fishing,23.75777778,1,FSM,Micronesia
320,2015-09,tuna_purse_seines,31.74277778,4,FSM,Micronesia
321,2015-10,drifting_longlines,7778.134167,30,FSM,Micronesia
322,2015-10,tuna_purse_seines,441.6966667,18,FSM,Micronesia
323,2015-11,drifting_longlines,7042.848056,28,FSM,Micronesia
324,2015-11,pole_and_line,443.3052778,9,FSM,Micronesia
325,2015-11,tuna_purse_seines,603.1208333,18,FSM,Micronesia
326,2015-12,drifting_longlines,10601.36667,42,FSM,Micronesia
327,2015-12,pole_and_line,563.1375,14,FSM,Micronesia
328,2015-12,tuna_purse_seines,3363.083889,46,FSM,Micronesia
329,2016-01,drifting_longlines,3.360277778,3,FSM,Micronesia
330,2016-01,drifting_longlines,12767.72417,38,FSM,Micronesia
331,2016-01,pole_and_line,0.433333333,1,FSM,Micronesia
332,2016-01,pole_and_line,1302.9625,10,FSM,Micronesia
333,2016-01,tuna_purse_seines,564.7086111,22,FSM,Micronesia
334,2016-02,drifting_longlines,9950.752778,33,FSM,Micronesia
335,2016-02,pole_and_line,1425.8175,14,FSM,Micronesia
336,2016-02,tuna_purse_seines,1485.6025,40,FSM,Micronesia
337,2016-03,drifting_longlines,8106.673333,29,FSM,Micronesia
338,2016-03,pole_and_line,445.1511111,11,FSM,Micronesia
339,2016-03,tuna_purse_seines,1910.098056,41,FSM,Micronesia
340,2016-04,drifting_longlines,5146.225,18,FSM,Micronesia
341,2016-04,fishing,147.9844444,1,FSM,Micronesia
342,2016-04,pole_and_line,892.2044444,13,FSM,Micronesia
343,2016-04,tuna_purse_seines,4475.976111,81,FSM,Micronesia
344,2016-05,drifting_longlines,3247.649444,11,FSM,Micronesia
345,2016-05,fishing,152.4908333,1,FSM,Micronesia
346,2016-05,pole_and_line,72.97722222,3,FSM,Micronesia
347,2016-05,tuna_purse_seines,10219.49028,117,FSM,Micronesia
348,2016-06,drifting_longlines,2750.184444,12,FSM,Micronesia
349,2016-06,fishing,146.1272222,1,FSM,Micronesia
350,2016-06,tuna_purse_seines,5646.901667,83,FSM,Micronesia
351,2016-07,drifting_longlines,3281.704722,13,FSM,Micronesia
352,2016-07,fishing,84.86138889,1,FSM,Micronesia
353,2016-07,tuna_purse_seines,4329.383889,63,FSM,Micronesia
354,2016-08,drifting_longlines,3215.155278,14,FSM,Micronesia
355,2016-08,fishing,165.4961111,1,FSM,Micronesia
356,2016-08,tuna_purse_seines,2579.378056,45,FSM,Micronesia
357,2016-09,drifting_longlines,4896.313333,17,FSM,Micronesia
358,2016-09,fishing,62.92555556,1,FSM,Micronesia
359,2016-09,tuna_purse_seines,2787.773056,49,FSM,Micronesia
360,2016-10,drifting_longlines,9321.299444,26,FSM,Micronesia
361,2016-10,fishing,7.004722222,1,FSM,Micronesia
362,2016-10,pole_and_line,1284.403611,18,FSM,Micronesia
363,2016-10,tuna_purse_seines,3761.315833,65,FSM,Micronesia
364,2016-11,drifting_longlines,9728.866389,29,FSM,Micronesia
365,2016-11,pole_and_line,1781.454722,19,FSM,Micronesia
366,2016-11,tuna_purse_seines,5361.464444,80,FSM,Micronesia
367,2016-12,drifting_longlines,10996.83806,33,FSM,Micronesia
368,2016-12,pole_and_line,4.678611111,4,FSM,Micronesia
369,2016-12,tuna_purse_seines,1160.809444,47,FSM,Micronesia
370,2017-01,drifting_longlines,4.007777778,2,FSM,Micronesia
371,2017-01,drifting_longlines,10541.26833,33,FSM,Micronesia
372,2017-01,pole_and_line,114.6083333,7,FSM,Micronesia
373,2017-01,tuna_purse_seines,1.744166667,3,FSM,Micronesia
374,2017-01,tuna_purse_seines,1846.919444,43,FSM,Micronesia
375,2017-02,drifting_longlines,11006.19222,38,FSM,Micronesia
376,2017-02,tuna_purse_seines,4087.531944,78,FSM,Micronesia
377,2017-03,drifting_longlines,10945.27028,42,FSM,Micronesia
378,2017-03,pole_and_line,98.97722222,5,FSM,Micronesia
379,2017-03,tuna_purse_seines,9181.943056,105,FSM,Micronesia
380,2017-04,drifting_longlines,8629.746111,43,FSM,Micronesia
381,2017-04,fishing,58,1,FSM,Micronesia
382,2017-04,tuna_purse_seines,7121.883056,106,FSM,Micronesia
383,2017-05,drifting_longlines,9829.361667,28,FSM,Micronesia
384,2017-05,fishing,93.55972222,1,FSM,Micronesia
385,2017-05,tuna_purse_seines,6396.482222,83,FSM,Micronesia
386,2017-06,drifting_longlines,9821.093889,25,FSM,Micronesia
387,2017-06,tuna_purse_seines,5966.147222,81,FSM,Micronesia
388,2017-07,drifting_longlines,11059.61889,31,FSM,Micronesia
389,2017-07,tuna_purse_seines,3131.911944,52,FSM,Micronesia
390,2017-08,drifting_longlines,9336.2975,32,FSM,Micronesia
391,2017-08,tuna_purse_seines,3467.100833,48,FSM,Micronesia
392,2017-09,drifting_longlines,9995.341111,36,FSM,Micronesia
393,2017-09,fishing,43.90361111,1,FSM,Micronesia
394,2017-09,tuna_purse_seines,2840.910833,37,FSM,Micronesia
395,2017-10,drifting_longlines,11512.50889,37,FSM,Micronesia
396,2017-10,pole_and_line,2.691944444,1,FSM,Micronesia
397,2017-10,tuna_purse_seines,2805.999722,43,FSM,Micronesia
398,2017-11,drifting_longlines,10193.73028,34,FSM,Micronesia
399,2017-11,pole_and_line,39.25861111,1,FSM,Micronesia
400,2017-11,tuna_purse_seines,3177.862222,52,FSM,Micronesia
401,2017-12,drifting_longlines,13732.2925,41,FSM,Micronesia
402,2017-12,fishing,102.7019444,2,FSM,Micronesia
403,2017-12,pole_and_line,54.81861111,2,FSM,Micronesia
404,2017-12,tuna_purse_seines,2050.152222,49,FSM,Micronesia
405,2018-01,drifting_longlines,15.28055556,12,FSM,Micronesia
406,2018-01,drifting_longlines,16795.00528,47,FSM,Micronesia
407,2018-01,fishing,162.4269444,1,FSM,Micronesia
408,2018-01,pole_and_line,69.05277778,2,FSM,Micronesia
409,2018-01,tuna_purse_seines,10.30416667,15,FSM,Micronesia
